file,pres,abs,N,N_TN
and_hedreantha.gpkg,3,872,875,0
and_komovensis.gpkg,1,874,875,0
and_villosa.gpkg,30,845,875,0
cam_albanica.gpkg,68,807,875,0
cam_cochlearifolia.gpkg,5,870,875,0
cam_marchesettii.gpkg,18,871,889,14
cam_velebitica.gpkg,90,859,949,74
cam_waldsteiniana.gpkg,2,873,875,0
gen_asclepiadea.gpkg,21,854,875,0
gen_cruciata.gpkg,7,868,875,0
gen_dinarica.gpkg,49,826,875,0
gen_lutea_symphyandra.gpkg,16,859,875,0
gen_lutea.gpkg,14,861,875,0
gen_nivalis.gpkg,36,839,875,0
gen_punctata.gpkg,7,868,875,0
gen_tergestina.gpkg,291,689,980,105
gen_utriculosa.gpkg,55,873,928,53
phy_confusum.gpkg,7,868,875,0
phy_orbiculare.gpkg,241,844,1085,210
phy_pseudorbiculare.gpkg,22,853,875,0
phy_spicatum.gpkg,23,852,875,0
pri_halleri.gpkg,6,869,875,0
pri_kitaibeliana.gpkg,109,0,109,109
sax_blavii.gpkg,88,787,875,0
sax_carpetana.gpkg,14,861,875,0
sax_exarata.gpkg,2,873,875,0
sax_glabella.gpkg,8,867,875,0
sax_granulata.gpkg,65,810,875,0
sax_moschata.gpkg,9,866,875,0
sax_oppositifolia.gpkg,4,871,875,0
sax_pentadactylis.gpkg,5,870,875,0
sax_scardica.gpkg,1,874,875,0
sil_acaulis.gpkg,23,852,875,0
