species_id,Total,Presences,Absences,Pres_TN,Proportion_TN
gen_tergestina,981,291,690,105,0.36082474226804123
phy_orbiculare,1086,241,845,210,0.8713692946058091
pri_kitaibeliana,985,110,875,109,0.990909090909091
cam_velebitica,950,90,860,74,0.8222222222222222
sax_blavii,876,88,788,0,0
cam_albanica,876,68,808,0,0
sax_granulata,876,65,811,0,0
gen_utriculosa,929,55,874,53,0.9636363636363636
gen_dinarica,876,49,827,0,0
gen_nivalis,876,36,840,0,0
and_villosa,876,30,846,0,0
phy_spicatum,876,23,853,0,0
sil_acaulis,876,23,853,0,0
phy_pseudorbiculare,876,22,854,0,0
gen_asclepiadea,876,21,855,0,0
cam_marchesettii,890,18,872,14,0.7777777777777778
gen_lutea_symphyandra,876,16,860,0,0
gen_lutea,876,14,862,0,0
sax_carpetana,876,14,862,0,0
sax_moschata,876,9,867,0,0
sax_glabella,876,8,868,0,0
gen_cruciata,876,7,869,0,0
gen_punctata,876,7,869,0,0
phy_confusum,876,7,869,0,0
pri_halleri,876,6,870,0,0
cam_cochlearifolia,876,5,871,0,0
sax_pentadactylis,876,5,871,0,0
sax_oppositifolia,876,4,872,0,0
and_hedreantha,876,3,873,0,0
cam_waldsteiniana,876,2,874,0,0
sax_exarata,876,2,874,0,0
and_komovensis,876,1,875,0,0
sax_scardica,876,1,875,0,0
